Date,Income
2025/2/22,58014.869999999995
2025/2/23,75752.4
2025/2/24,46812.74
2025/2/25,35381.68
2025/2/26,22500.36
2025/2/27,58379.5
2025/2/28,37011.149999999994
2025/3/1,73747.41
2025/3/2,53208.58
2025/3/3,56210.32
2025/3/4,32214.15
2025/3/5,58548.29
2025/3/6,72519.11
2025/3/7,57456.399999999994
2025/3/8,54198.82
2025/3/9,35422.95
2025/3/10,42860.020000000004
2025/3/11,39309.45
2025/3/12,40862.76
2025/3/13,78861.21
2025/3/14,94667.51000000001
2025/3/15,76672.22
2025/3/16,49055.94
2025/3/17,39096.18
2025/3/18,49332.57
2025/3/19,41265.13
2025/3/20,59306.56
2025/3/21,63870.68
2025/3/22,56853.869999999995
2025/3/23,61183.41
2025/3/24,50598.48
2025/3/25,37788.909999999996
2025/3/26,66799.69
2025/3/27,30524.31
2025/3/28,38113.94
2025/3/29,84751.9
2025/3/30,62590.149999999994
2025/3/31,35679.74
2025/4/1,58786.47
2025/4/2,67738.9
2025/4/3,31796.659999999996
2025/4/4,72075.4
2025/4/5,37087.159999999996
2025/4/6,43941.2
2025/4/7,47071.5
2025/4/8,34069.96
2025/4/9,76291.53
2025/4/10,43751.04
2025/4/11,68547
2025/4/12,57165.63
2025/4/13,53428.770000000004
2025/4/14,71791.02
2025/4/15,39022.26
2025/4/16,46390.78
2025/4/17,74330.11
2025/4/18,45756.63
2025/4/19,77337.5
2025/4/20,57630.090000000004
2025/4/21,52136.66
2025/4/22,62984.39
2025/4/23,41891.61
2025/4/24,78977.88
2025/4/25,42715.38
2025/4/26,41820.47
2025/4/27,75061.81999999999
2025/4/28,54901.27
2025/4/29,42152.28
2025/4/30,89483.85
2025/5/1,49922.35
2025/5/2,60376.26
2025/5/3,54846.87
2025/5/4,42788.520000000004
2025/5/5,57747.75
2025/5/6,69629
2025/5/7,41129.1
2025/5/8,69530.31
2025/5/9,43611.05
2025/5/10,69827.75
2025/5/11,60755.619999999995
2025/5/12,41197.42
2025/5/13,77853.43000000001
2025/5/14,46899.27
2025/5/15,51588.5
2025/5/16,71734.20999999999
2025/5/17,48197.09
2025/5/18,45801.76
2025/5/19,53711.770000000004
2025/5/20,57261.12
2025/5/21,42129.32
2025/5/22,69551.92
2025/5/23,53567.16
2025/5/24,54377.97
2025/5/25,46679.65
2025/5/26,72749.73
2025/5/27,56551.159999999996
2025/5/28,38480.159999999996
2025/5/29,41249.49
2025/5/30,67835.64
2025/5/31,48159.34
