日期,收入金额,客户类型,收入渠道,业务标签
2024-06-21,9903.93,新客户,银行转账,服务费
2024-06-21,1589.15,新客户,支付宝,服务费
2024-06-22,10856.81,合作伙伴,银行转账,销售收入
2024-06-22,7579.82,新客户,微信,平台分成
2024-06-22,8712.94,新客户,微信,销售收入
2024-06-22,6920.14,老客户,银行转账,平台分成
2024-06-22,12649.92,合作伙伴,微信,销售收入
2024-06-22,7641.79,新客户,POS机,服务费
2024-06-22,6498.49,老客户,支付宝,服务费
2024-06-22,10581.5,新客户,POS机,销售收入
2024-06-22,3474.67,合作伙伴,POS机,平台分成
2024-06-23,6386.69,新客户,银行转账,销售收入
2024-06-23,3998.47,合作伙伴,支付宝,销售收入
2024-06-23,7693.03,合作伙伴,银行转账,销售收入
2024-06-23,9622.23,老客户,支付宝,服务费
2024-06-23,8355.13,合作伙伴,银行转账,服务费
2024-06-24,10592.9,新客户,支付宝,平台分成
2024-06-24,3717.16,合作伙伴,支付宝,广告收入
2024-06-24,11384.68,新客户,银行转账,销售收入
2024-06-24,1869.34,新客户,银行转账,服务费
2024-06-24,5746.77,老客户,微信,服务费
2024-06-25,12097.15,新客户,微信,广告收入
2024-06-25,8563.09,新客户,银行转账,销售收入
2024-06-25,6389.31,老客户,银行转账,销售收入
2024-06-25,11389.93,新客户,支付宝,广告收入
2024-06-25,5819.74,新客户,银行转账,服务费
2024-06-26,6322.44,合作伙伴,POS机,服务费
2024-06-26,7995.91,老客户,支付宝,广告收入
2024-06-26,6934.92,老客户,微信,服务费
2024-06-26,6591.85,合作伙伴,微信,销售收入
2024-06-26,14348.14,老客户,银行转账,平台分成
2024-06-26,8507.78,老客户,支付宝,平台分成
2024-06-27,8123.93,合作伙伴,微信,广告收入
2024-06-27,7326.48,新客户,支付宝,服务费
2024-06-27,9793.86,老客户,微信,广告收入
2024-06-27,12764.77,老客户,银行转账,服务费
2024-06-27,8569.01,老客户,银行转账,销售收入
2024-06-27,7296.54,老客户,支付宝,销售收入
2024-06-27,3838.27,新客户,支付宝,平台分成
2024-06-27,4738.83,合作伙伴,微信,销售收入
2024-06-27,9674.18,合作伙伴,微信,服务费
2024-06-27,5246.87,新客户,POS机,广告收入
2024-06-28,9219.18,新客户,微信,服务费
2024-06-28,6883.29,新客户,微信,销售收入
2024-06-28,6810.82,老客户,支付宝,销售收入
2024-06-28,8127.11,新客户,银行转账,服务费
2024-06-28,6778.4,老客户,支付宝,平台分成
2024-06-28,7063.35,新客户,微信,平台分成
2024-06-28,5953.31,合作伙伴,银行转账,销售收入
2024-06-29,10128.39,合作伙伴,银行转账,销售收入
2024-06-29,6449.09,合作伙伴,POS机,广告收入
2024-06-29,7312.37,合作伙伴,支付宝,平台分成
2024-06-29,2245.2,老客户,POS机,销售收入
2024-06-29,9000.55,老客户,微信,广告收入
2024-06-29,6038.72,新客户,微信,平台分成
2024-06-29,11809.47,新客户,微信,广告收入
2024-06-29,1858.13,老客户,银行转账,广告收入
2024-06-29,5346.84,老客户,支付宝,服务费
2024-06-29,6364.07,新客户,银行转账,销售收入
2024-06-30,2558.3,新客户,银行转账,平台分成
2024-06-30,7022.41,合作伙伴,微信,平台分成
2024-06-30,11807.81,合作伙伴,银行转账,平台分成
2024-06-30,9347.28,新客户,银行转账,平台分成
2024-06-30,8564.99,合作伙伴,微信,销售收入
2024-06-30,10099.37,新客户,支付宝,销售收入
2024-06-30,7096.44,老客户,支付宝,广告收入
2024-06-30,7403.77,老客户,POS机,广告收入
2024-07-01,5928.54,新客户,微信,广告收入
2024-07-01,6637.08,合作伙伴,微信,广告收入
2024-07-01,8676.14,老客户,微信,平台分成
2024-07-01,7874.4,合作伙伴,POS机,服务费
2024-07-01,12487.91,新客户,支付宝,平台分成
2024-07-01,7813.73,合作伙伴,微信,服务费
2024-07-01,11104.93,老客户,银行转账,平台分成
2024-07-01,7785.59,合作伙伴,支付宝,服务费
2024-07-01,3931.14,新客户,微信,平台分成
2024-07-01,8120.21,老客户,支付宝,销售收入
2024-07-02,7834.8,合作伙伴,微信,销售收入
2024-07-02,4972.46,老客户,支付宝,服务费
2024-07-02,6495.08,新客户,银行转账,销售收入
2024-07-02,9900.63,合作伙伴,银行转账,广告收入
2024-07-02,1820.89,合作伙伴,支付宝,销售收入
2024-07-02,6007.76,老客户,银行转账,服务费
2024-07-02,8424.32,合作伙伴,POS机,广告收入
2024-07-02,8223.48,老客户,银行转账,服务费
2024-07-02,7700.37,新客户,银行转账,平台分成
2024-07-02,8284.32,老客户,POS机,广告收入
2024-07-03,6565.62,老客户,支付宝,平台分成
2024-07-03,6298.14,新客户,POS机,销售收入
2024-07-03,12273.23,合作伙伴,POS机,服务费
2024-07-03,10062.25,合作伙伴,支付宝,销售收入
2024-07-03,10628.98,新客户,微信,销售收入
2024-07-03,5891.14,新客户,银行转账,广告收入
2024-07-03,10073.51,合作伙伴,POS机,广告收入
2024-07-03,2472.16,老客户,微信,平台分成
2024-07-03,11036.81,合作伙伴,支付宝,广告收入
2024-07-04,5797.84,老客户,银行转账,广告收入
2024-07-04,10070.38,合作伙伴,微信,销售收入
2024-07-04,10524.74,老客户,支付宝,平台分成
2024-07-04,9197.45,老客户,银行转账,平台分成
2024-07-04,8834.16,合作伙伴,银行转账,广告收入
2024-07-04,11217.44,新客户,银行转账,广告收入
2024-07-04,6888.41,新客户,POS机,平台分成
2024-07-04,8068.16,老客户,POS机,广告收入
2024-07-04,7662.25,新客户,微信,服务费
2024-07-05,7720.07,合作伙伴,支付宝,广告收入
2024-07-05,8816.06,老客户,支付宝,广告收入
2024-07-05,8699.92,老客户,支付宝,销售收入
2024-07-05,5186.28,合作伙伴,银行转账,服务费
2024-07-05,12455.41,新客户,POS机,服务费
2024-07-05,9475.69,老客户,微信,销售收入
2024-07-05,12705.06,合作伙伴,支付宝,销售收入
2024-07-06,11363.55,新客户,POS机,平台分成
2024-07-06,6431.45,老客户,POS机,广告收入
2024-07-06,6761.53,新客户,银行转账,广告收入
2024-07-06,5363.41,新客户,微信,广告收入
2024-07-06,6176.31,新客户,银行转账,销售收入
2024-07-06,9540.54,新客户,支付宝,广告收入
2024-07-06,6423.97,新客户,微信,平台分成
2024-07-06,7425.3,合作伙伴,支付宝,平台分成
2024-07-06,9570.35,新客户,微信,服务费
2024-07-06,7351.02,老客户,微信,服务费
2024-07-07,4242.14,老客户,微信,销售收入
2024-07-07,7422.66,合作伙伴,微信,平台分成
2024-07-07,9740.52,老客户,支付宝,销售收入
2024-07-07,9113.5,新客户,银行转账,服务费
2024-07-07,8035.53,老客户,支付宝,服务费
2024-07-08,6554.22,新客户,POS机,平台分成
2024-07-08,5723.61,合作伙伴,微信,广告收入
2024-07-08,6582.09,新客户,支付宝,销售收入
2024-07-08,10822.22,新客户,银行转账,平台分成
2024-07-08,8757.76,老客户,银行转账,广告收入
2024-07-08,10916.25,老客户,微信,平台分成
2024-07-08,4163.3,老客户,支付宝,广告收入
2024-07-08,14990.08,新客户,微信,服务费
2024-07-08,4481.22,老客户,支付宝,服务费
2024-07-09,6055.46,合作伙伴,微信,服务费
2024-07-09,11055.51,合作伙伴,微信,广告收入
2024-07-09,2564.19,新客户,微信,服务费
2024-07-09,8246.86,合作伙伴,微信,销售收入
2024-07-09,7674.14,合作伙伴,POS机,服务费
2024-07-10,11124.51,新客户,POS机,平台分成
2024-07-10,9050.81,老客户,银行转账,广告收入
2024-07-10,6491.41,合作伙伴,支付宝,销售收入
2024-07-10,7357.19,新客户,微信,广告收入
2024-07-10,11418.43,合作伙伴,银行转账,销售收入
2024-07-10,10395.63,合作伙伴,POS机,平台分成
2024-07-11,7176.67,新客户,POS机,销售收入
2024-07-11,7757.93,老客户,支付宝,销售收入
2024-07-11,3616.33,老客户,POS机,平台分成
2024-07-11,6637.69,新客户,POS机,平台分成
2024-07-11,8711.18,新客户,微信,平台分成
2024-07-11,8096.38,新客户,微信,平台分成
2024-07-12,13388.1,新客户,微信,平台分成
2024-07-12,9680.64,合作伙伴,支付宝,平台分成
2024-07-12,8046.08,老客户,银行转账,广告收入
2024-07-12,8868.95,合作伙伴,银行转账,平台分成
2024-07-12,3926.02,新客户,银行转账,销售收入
2024-07-13,9379.66,合作伙伴,支付宝,销售收入
2024-07-13,12051.33,新客户,银行转账,广告收入
2024-07-13,11926.24,新客户,支付宝,销售收入
2024-07-13,3397.81,老客户,支付宝,服务费
2024-07-13,4801.06,老客户,支付宝,广告收入
2024-07-13,7437.49,新客户,POS机,广告收入
2024-07-13,11018.98,合作伙伴,微信,平台分成
2024-07-13,13203.29,老客户,支付宝,销售收入
2024-07-13,7238.62,新客户,POS机,平台分成
2024-07-13,6560.91,合作伙伴,支付宝,销售收入
2024-07-14,8305.02,新客户,支付宝,平台分成
2024-07-14,2701.61,新客户,POS机,销售收入
2024-07-14,7122.84,新客户,银行转账,广告收入
2024-07-14,5638.27,合作伙伴,微信,平台分成
2024-07-14,13757.28,合作伙伴,银行转账,平台分成
2024-07-14,10464.31,新客户,银行转账,销售收入
2024-07-14,6513.84,新客户,支付宝,广告收入
2024-07-15,8444.25,合作伙伴,POS机,服务费
2024-07-15,4661.64,新客户,微信,销售收入
2024-07-15,11215.67,新客户,支付宝,平台分成
2024-07-15,10655.52,合作伙伴,银行转账,广告收入
2024-07-15,10046.21,合作伙伴,支付宝,销售收入
2024-07-16,8334.62,老客户,微信,广告收入
2024-07-16,7901.11,合作伙伴,支付宝,广告收入
2024-07-16,9703.75,合作伙伴,支付宝,平台分成
2024-07-16,11369.64,合作伙伴,POS机,服务费
2024-07-16,11243.52,新客户,POS机,平台分成
2024-07-17,5393.79,合作伙伴,微信,服务费
2024-07-17,11194.82,合作伙伴,微信,服务费
2024-07-17,11617.44,新客户,银行转账,平台分成
2024-07-17,8491.39,新客户,银行转账,平台分成
2024-07-17,7454.74,老客户,微信,平台分成
2024-07-17,10489.64,合作伙伴,支付宝,广告收入
2024-07-17,6905.84,合作伙伴,POS机,广告收入
2024-07-18,5034.16,新客户,POS机,平台分成
2024-07-18,14494.26,合作伙伴,POS机,销售收入
2024-07-18,6374.07,老客户,支付宝,销售收入
2024-07-18,8717.43,老客户,银行转账,销售收入
2024-07-18,2786.96,新客户,微信,平台分成
2024-07-18,9965.44,老客户,支付宝,销售收入
2024-07-18,6869.18,新客户,银行转账,销售收入
2024-07-18,7913.29,新客户,银行转账,服务费
2024-07-18,8585.54,合作伙伴,POS机,平台分成
2024-07-18,6378.62,老客户,POS机,广告收入
2024-07-19,10004.64,合作伙伴,POS机,平台分成
2024-07-19,5193.19,合作伙伴,POS机,服务费
2024-07-19,8956.02,新客户,POS机,广告收入
2024-07-19,9545.35,老客户,支付宝,广告收入
2024-07-19,6740.74,新客户,支付宝,平台分成
2024-07-19,9171.41,合作伙伴,支付宝,广告收入
2024-07-19,9270.47,新客户,银行转账,广告收入
2024-07-19,9578.62,老客户,微信,广告收入
2024-07-19,14134.61,老客户,支付宝,平台分成
2024-07-19,13589.19,合作伙伴,银行转账,销售收入
2024-07-20,6335.15,老客户,POS机,销售收入
2024-07-20,6468.03,合作伙伴,银行转账,销售收入
2024-07-20,7030.75,老客户,支付宝,销售收入
2024-07-20,9266.84,合作伙伴,微信,平台分成
2024-07-20,7498.22,合作伙伴,POS机,平台分成
2024-07-21,7917.18,新客户,支付宝,服务费
2024-07-21,12486.39,新客户,POS机,服务费
2024-07-21,300.0,合作伙伴,银行转账,平台分成
2024-07-21,5824.44,老客户,微信,服务费
2024-07-21,3901.51,合作伙伴,支付宝,服务费
2024-07-21,9156.37,新客户,POS机,广告收入
2024-07-21,9014.04,新客户,微信,销售收入
2024-07-22,9787.52,合作伙伴,支付宝,广告收入
2024-07-22,6377.02,新客户,微信,平台分成
2024-07-22,9201.41,合作伙伴,银行转账,广告收入
2024-07-22,7582.2,新客户,微信,平台分成
2024-07-22,8366.78,合作伙伴,微信,平台分成
2024-07-22,9045.63,合作伙伴,银行转账,平台分成
2024-07-22,9001.03,新客户,POS机,平台分成
2024-07-22,9631.34,合作伙伴,POS机,平台分成
2024-07-22,3268.64,新客户,POS机,广告收入
2024-07-23,10965.97,合作伙伴,POS机,平台分成
2024-07-23,7409.12,新客户,银行转账,平台分成
2024-07-23,8438.86,合作伙伴,支付宝,服务费
2024-07-23,9021.28,老客户,银行转账,销售收入
2024-07-23,3475.1,合作伙伴,支付宝,平台分成
2024-07-23,10412.54,老客户,支付宝,服务费
2024-07-23,6533.63,合作伙伴,微信,服务费
2024-07-23,12777.01,合作伙伴,银行转账,销售收入
2024-07-23,11913.81,合作伙伴,支付宝,平台分成
2024-07-23,7835.62,老客户,支付宝,平台分成
2024-07-24,8222.38,新客户,银行转账,广告收入
2024-07-24,10914.78,老客户,POS机,广告收入
2024-07-24,10804.63,合作伙伴,微信,销售收入
2024-07-24,11276.36,新客户,支付宝,销售收入
2024-07-24,3383.07,老客户,支付宝,广告收入
2024-07-24,6583.33,新客户,支付宝,广告收入
2024-07-24,8185.52,老客户,POS机,广告收入
2024-07-24,7426.49,合作伙伴,POS机,服务费
2024-07-24,6952.7,新客户,银行转账,服务费
2024-07-25,6795.57,老客户,支付宝,服务费
2024-07-25,9284.59,合作伙伴,支付宝,服务费
2024-07-25,7357.97,合作伙伴,支付宝,销售收入
2024-07-25,4434.69,老客户,银行转账,服务费
2024-07-25,9515.41,合作伙伴,银行转账,平台分成
2024-07-25,4021.49,合作伙伴,POS机,服务费
2024-07-25,9411.75,新客户,银行转账,服务费
2024-07-26,7567.41,合作伙伴,支付宝,广告收入
2024-07-26,6279.6,合作伙伴,支付宝,销售收入
2024-07-26,8644.99,新客户,微信,销售收入
2024-07-26,9172.79,新客户,POS机,平台分成
2024-07-26,7990.99,新客户,支付宝,平台分成
2024-07-26,5104.09,老客户,POS机,服务费
2024-07-26,8156.26,新客户,银行转账,平台分成
2024-07-26,6048.81,新客户,银行转账,服务费
2024-07-26,4536.57,合作伙伴,支付宝,平台分成
2024-07-27,5231.7,老客户,支付宝,广告收入
2024-07-27,6766.34,合作伙伴,银行转账,销售收入
2024-07-27,6887.54,合作伙伴,微信,平台分成
2024-07-27,12254.24,新客户,微信,平台分成
2024-07-27,11457.86,老客户,POS机,服务费
2024-07-27,6551.34,合作伙伴,微信,广告收入
2024-07-27,10722.52,老客户,微信,平台分成
2024-07-27,7747.94,新客户,微信,服务费
2024-07-27,11746.41,老客户,支付宝,广告收入
2024-07-27,9625.7,新客户,POS机,销售收入
2024-07-28,11918.38,老客户,微信,广告收入
2024-07-28,9307.09,合作伙伴,微信,服务费
2024-07-28,6565.75,老客户,支付宝,平台分成
2024-07-28,4721.95,新客户,POS机,广告收入
2024-07-28,10996.11,老客户,微信,广告收入
2024-07-28,6744.36,合作伙伴,微信,销售收入
2024-07-28,8528.99,新客户,微信,平台分成
2024-07-28,7770.6,新客户,POS机,服务费
2024-07-28,9256.97,老客户,POS机,服务费
2024-07-29,4095.48,老客户,银行转账,服务费
2024-07-29,13004.34,老客户,POS机,广告收入
2024-07-29,7568.43,合作伙伴,支付宝,广告收入
2024-07-29,10209.15,老客户,支付宝,销售收入
2024-07-29,9332.15,新客户,POS机,广告收入
2024-07-29,4865.48,合作伙伴,银行转账,平台分成
2024-07-29,9235.08,老客户,微信,服务费
2024-07-29,8651.68,老客户,支付宝,平台分成
2024-07-30,7936.11,老客户,支付宝,服务费
2024-07-30,10931.82,合作伙伴,银行转账,平台分成
2024-07-30,2413.93,合作伙伴,支付宝,平台分成
2024-07-30,8588.0,合作伙伴,银行转账,销售收入
2024-07-30,4763.3,新客户,POS机,广告收入
2024-07-30,10902.07,合作伙伴,微信,广告收入
2024-07-30,7623.95,老客户,POS机,销售收入
2024-07-30,10488.87,老客户,支付宝,销售收入
2024-07-30,4108.55,新客户,微信,销售收入
2024-07-31,6929.71,新客户,POS机,广告收入
2024-07-31,10117.7,新客户,银行转账,销售收入
2024-07-31,11056.25,合作伙伴,POS机,广告收入
2024-07-31,11960.01,老客户,POS机,平台分成
2024-07-31,13769.48,新客户,支付宝,广告收入
2024-07-31,4906.65,新客户,银行转账,广告收入
2024-07-31,9573.12,新客户,银行转账,销售收入
2024-07-31,12289.39,新客户,POS机,平台分成
2024-07-31,9929.7,合作伙伴,POS机,广告收入
2024-07-31,8169.38,合作伙伴,POS机,广告收入
2024-08-01,9000.29,老客户,微信,服务费
2024-08-01,6168.29,新客户,银行转账,广告收入
2024-08-01,9263.57,新客户,POS机,服务费
2024-08-01,10012.98,老客户,微信,广告收入
2024-08-01,4952.57,老客户,支付宝,平台分成
2024-08-01,9671.17,新客户,微信,服务费
2024-08-02,6707.76,新客户,POS机,平台分成
2024-08-02,8451.61,老客户,微信,销售收入
2024-08-02,9879.35,新客户,POS机,销售收入
2024-08-02,8756.59,老客户,支付宝,广告收入
2024-08-02,6114.31,新客户,银行转账,销售收入
2024-08-02,7345.08,老客户,微信,销售收入
2024-08-02,6730.8,老客户,支付宝,服务费
2024-08-03,10253.69,新客户,银行转账,广告收入
2024-08-03,7652.84,新客户,微信,广告收入
2024-08-03,4327.3,新客户,微信,销售收入
2024-08-03,5752.1,新客户,微信,服务费
2024-08-03,10928.95,新客户,微信,销售收入
2024-08-03,13070.89,新客户,银行转账,服务费
2024-08-03,4767.14,合作伙伴,支付宝,广告收入
2024-08-03,6497.57,老客户,POS机,平台分成
2024-08-03,6279.62,新客户,微信,平台分成
2024-08-03,13631.09,老客户,POS机,平台分成
2024-08-04,4526.07,合作伙伴,银行转账,服务费
2024-08-04,3886.5,合作伙伴,POS机,广告收入
2024-08-04,9699.93,合作伙伴,支付宝,广告收入
2024-08-04,9438.67,新客户,银行转账,广告收入
2024-08-04,10291.57,合作伙伴,银行转账,销售收入
2024-08-04,7600.63,合作伙伴,POS机,广告收入
2024-08-04,6115.09,新客户,银行转账,服务费
2024-08-04,7298.31,合作伙伴,支付宝,销售收入
2024-08-05,3219.74,老客户,POS机,平台分成
2024-08-05,8992.1,新客户,支付宝,销售收入
2024-08-05,5543.78,合作伙伴,微信,广告收入
2024-08-05,7438.42,老客户,POS机,广告收入
2024-08-05,12616.57,新客户,POS机,平台分成
2024-08-05,8555.71,老客户,银行转账,服务费
2024-08-05,7950.91,老客户,微信,销售收入
2024-08-05,9381.22,新客户,POS机,平台分成
2024-08-06,14365.12,新客户,支付宝,广告收入
2024-08-06,9032.64,老客户,支付宝,销售收入
2024-08-06,4890.34,老客户,银行转账,服务费
2024-08-06,6267.74,合作伙伴,微信,平台分成
2024-08-06,9466.7,新客户,支付宝,广告收入
2024-08-06,9702.52,新客户,支付宝,广告收入
2024-08-06,9257.0,合作伙伴,银行转账,销售收入
2024-08-07,7098.71,新客户,支付宝,广告收入
2024-08-07,6249.13,老客户,微信,销售收入
2024-08-07,6392.5,新客户,支付宝,销售收入
2024-08-07,9667.45,合作伙伴,支付宝,平台分成
2024-08-07,4126.17,新客户,支付宝,广告收入
2024-08-08,9422.46,新客户,微信,平台分成
2024-08-08,12070.99,新客户,POS机,销售收入
2024-08-08,3921.25,合作伙伴,银行转账,平台分成
2024-08-08,11952.39,合作伙伴,银行转账,服务费
2024-08-08,11096.37,新客户,POS机,服务费
2024-08-09,7462.67,新客户,POS机,服务费
2024-08-09,8827.2,新客户,支付宝,平台分成
2024-08-09,10083.82,老客户,微信,平台分成
2024-08-09,7641.22,新客户,支付宝,广告收入
2024-08-09,6678.34,合作伙伴,支付宝,平台分成
2024-08-09,10171.11,新客户,支付宝,销售收入
2024-08-09,3509.93,合作伙伴,银行转账,广告收入
2024-08-10,7182.91,新客户,支付宝,广告收入
2024-08-10,5025.6,新客户,POS机,服务费
2024-08-10,10728.28,老客户,POS机,销售收入
2024-08-10,9522.85,合作伙伴,微信,服务费
